CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,RANGAGEAD,RANGAGEDEM,ADH,RANGADH
3,0,0,A,0,DV,21,1.0,5.0,21,5.0
3,0,0,M,0,DV,21,6.0,,23,5.0
3,0,0,A,0,DV,21,5.0,9.0,21,5.0
3,0,0,A,0,DV,21,4.0,7.0,18,4.0
2,0,0,D,0,DV,21,1.0,7.0,33,7.0
2,0,0,A,0,DV,21,2.0,9.0,32,7.0
3,0,0,M,2,DV,21,5.0,,29,6.0
2,0,0,M,0,DV,21,4.0,,31,7.0
3,0,0,M,0,DV,21,3.0,9.0,31,7.0
3,0,0,A,0,RA,21,3.0,,33,7.0
3,1400,0,M,0,DV,21,5.0,,34,7.0
2,0,0,M,0,DA,21,1.0,6.0,28,6.0
2,0,0,M,0,DV,21,5.0,,29,6.0
2,0,0,M,0,DV,21,4.0,,32,7.0
3,0,0,M,0,DV,21,3.0,8.0,28,6.0
2,0,0,A,0,DV,21,3.0,8.0,28,6.0
3,0,0,D,0,DV,21,3.0,9.0,28,6.0
3,0,0,V,0,DV,21,8.0,,30,7.0
4,0,0,C,0,DV,21,7.0,,24,5.0
3,0,0,M,0,DV,21,8.0,,24,5.0
3,0,0,D,0,DV,21,6.0,,26,6.0
2,0,0,M,0,DV,21,8.0,,26,6.0
2,0,0,M,0,DV,21,7.0,,23,5.0
3,0,0,A,0,DV,21,6.0,,27,6.0
2,0,0,D,0,DV,21,3.0,8.0,29,6.0
2,0,0,A,0,DV,21,4.0,9.0,25,6.0
2,0,0,M,0,DV,21,4.0,8.0,22,5.0
2,0,0,A,0,DV,21,4.0,8.0,24,5.0
3,0,0,D,0,DV,21,7.0,,25,6.0
3,0,0,M,0,DV,21,8.0,,26,6.0
3,0,0,M,0,DV,21,3.0,7.0,22,5.0
2,0,0,M,0,DV,21,3.0,8.0,27,6.0
3,0,0,M,0,DV,21,3.0,8.0,27,6.0
2,0,0,A,0,DV,21,7.0,,25,6.0
3,1685,0,C,0,DV,21,1.0,6.0,28,6.0
3,0,0,M,0,DV,21,5.0,,23,5.0
3,0,0,V,0,DV,21,8.0,,26,6.0
3,1143,0,M,0,DV,21,4.0,9.0,27,6.0
2,0,0,M,0,DV,21,5.0,,23,5.0
3,0,0,M,2,DV,21,6.0,,26,6.0
2,1219,0,M,0,DV,21,5.0,,25,6.0
2,0,0,M,0,DV,21,4.0,9.0,25,6.0
3,0,0,M,0,DV,21,6.0,,25,6.0
3,0,0,M,0,DV,21,7.0,,18,4.0
2,0,0,M,0,DV,21,4.0,7.0,19,4.0
2,0,0,A,0,DV,21,3.0,6.0,19,4.0
3,0,0,C,0,DV,21,1.0,5.0,24,5.0
3,0,0,M,0,DV,21,1.0,5.0,23,5.0
3,0,0,A,0,DV,21,3.0,7.0,18,4.0
3,0,0,A,0,DV,21,4.0,,30,7.0
2,0,0,A,0,DV,21,2.0,8.0,32,7.0
2,0,1,M,0,DV,21,4.0,,33,7.0
